ticker,currency,company_name,exchange,exchange_short,timezone
NCTY,USD,The9 Limited,NASDAQ Stock Exchange,NASDAQ,America/New_York
TLRY,USD,"Tilray, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
TIPT,USD,Tiptree Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
TOCA,USD,Tocagen Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
TRMB,USD,Trimble Inc.,NASDAQ Stock Exchange,NASDAQ,America/New_York
UXIN,USD,Uxin Limited,NASDAQ Stock Exchange,NASDAQ,America/New_York
VXRT,USD,"Vaxart, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
VERX,USD,"Vertex, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
VSAT,USD,"Viasat, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
VTSI,USD,"VirTra, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
WIX,USD,Wix.com Ltd.,NASDAQ Stock Exchange,NASDAQ,America/New_York
XNCR,USD,"Xencor, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
XLNX,USD,"Xilinx, Inc.",NASDAQ Stock Exchange,NASDAQ,America/New_York
